label	obs	mean_exp	enr	p
GWAS_Catalog_2019: Exhaled nitric oxide output	4	0.212446	18.828314018621203	0.002453995092009816
GWAS_Catalog_2019: Exhaled nitric oxide levels	4	0.212446	18.828314018621203	0.002453995092009816
GWAS_Catalog_2019: Cannabis use	3	0.287178	10.446482669285253	0.006145987708024584
GWAS_Catalog_2019: Iris color (a* coordinate)	2	0.127104	15.735146022155087	0.00748998502002996
GWAS_Catalog_2019: Intelligence (MTAG)	12	3.572136	3.3593345830057983	0.015545968908062183
GWAS_Catalog_2019: Food allergy	2	0.197584	10.122277107458093	0.01744796510406979
GWAS_Catalog_2019: Inflammatory bowel disease (early onset)	6	0.191682	31.30184367859267	0.022333955332089334
GWAS_Catalog_2019: Type 1 diabetes	4	0.720098	5.554799485625567	0.02317195365609269
GWAS_Catalog_2019: Inflammatory bowel disease	23	6.28282	3.660776530284172	0.02569194861610277
GWAS_Catalog_2019: General cognitive ability	8	2.743162	2.9163425273461794	0.03129793740412519
GWAS_Catalog_2019: Erosive tooth wear (severe vs non-severe)	3	0.619598	4.841849069880793	0.033413933172133654
GWAS_Catalog_2019: Delirium	3	0.395392	7.587406927808352	0.037779924440151116
GWAS_Catalog_2019: Experiencing mood swings	3	0.725278	4.136344960139422	0.03821392357215286
GWAS_Catalog_2019: Crohn's disease	17	5.474032	3.1055719075080304	0.04198991602016796
GWAS_Catalog_2019: Binge eating behaviour and bipolar disorder	1	0.043342	23.072308615200036	0.042613914772170455
GWAS_Catalog_2019: Milk allergy	1	0.046604	21.45738563213458	0.04551590896818206
GWAS_Catalog_2019: Asthma and hay fever	2	0.322288	6.205629747306756	0.05118789762420475
GWAS_Catalog_2019: Graves' disease	2	0.308726	6.478236364932011	0.0566758866482267
GWAS_Catalog_2019: Hippocampal atrophy	2	0.335558	5.960221481830264	0.0575498849002302
GWAS_Catalog_2019: Methadone dose in opioid dependence	3	0.826132	3.6313809415444505	0.05833588332823334
GWAS_Catalog_2019: Nose morphology	2	0.387406	5.162542655508691	0.06507786984426031
GWAS_Catalog_2019: Insomnia (caffeine-induced)	1	0.070524	14.179570075435311	0.06833186333627332
GWAS_Catalog_2019: Obesity (extreme)	2	0.429348	4.658225961224927	0.07034785930428139
GWAS_Catalog_2019: Cocaine dependence	1	0.092494	10.811512098082037	0.07701584596830806
GWAS_Catalog_2019: Hematological parameters	1	0.117712	8.495310588555117	0.08347783304433391
