chr	window_Start	window_Stop	AH:num3DmodifyingVars
chr1	7340032	8388608	{'D_mse:1'}
chr1	9961472	11010048	{'D_mse:1'}
chr1	17825792	18874368	{'V_spe:1', 'C_spe:1', 'A_spe:1'}
chr1	28311552	29360128	{'D_spe:1', 'D_mse:1'}
chr1	38273024	39321600	{'D_spe:1', 'D_mse:1'}
chr1	38797312	39845888	{'D_mse:1'}
chr1	53477376	54525952	{'V_mse:1', 'C_mse:1'}
chr1	56623104	57671680	{'D_spe:1', 'D_mse:1'}
chr1	60817408	61865984	{'D_mse:1'}
chr1	73400320	74448896	{'V_spe:1', 'C_spe:1', 'A_spe:1'}
chr1	73924608	74973184	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr1	81264640	82313216	{'D_spe:2', 'D_mse:2'}
chr1	89128960	90177536	{'D_mse:1'}
chr1	89653248	90701824	{'D_spe:1', 'D_mse:1'}
chr1	98566144	99614720	{'C_spe:2', 'A_spe:2'}
chr1	106954752	108003328	{'D_spe:1', 'D_mse:1'}
chr1	119013376	120061952	{'D_spe:1', 'D_mse:1'}
chr1	155713536	156762112	{'C_mse:2', 'A_mse:1', 'C_spe:2', 'A_spe:1'}
chr1	156237824	157286400	{'C_mse:2', 'A_mse:1', 'C_spe:2', 'A_spe:1'}
chr1	158334976	159383552	{'C_mse:1', 'C_spe:1'}
chr1	158859264	159907840	{'C_mse:1', 'C_spe:1'}
chr1	175112192	176160768	{'V_spe:1', 'D_spe:1', 'C_mse:1', 'A_spe:2', 'D_mse:1', 'V_mse:1', 'C_spe:1'}
chr1	179306496	180355072	{'D_mse:1'}
chr1	193986560	195035136	{'V_mse:1', 'V_spe:1'}
chr1	199229440	200278016	{'D_spe:1'}
chr1	199753728	200802304	{'D_spe:1', 'D_mse:1'}
chr1	212336640	213385216	{'A_mse:2', 'V_spe:2', 'A_spe:2', 'D_mse:1', 'V_mse:2', 'C_mse:2', 'C_spe:2'}
chr1	212860928	213909504	{'V_spe:1', 'C_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr1	213385216	214433792	{'A_spe:1'}
chr1	219676672	220725248	{'V_spe:1', 'D_spe:1', 'C_mse:1', 'D_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr1	220200960	221249536	{'A_mse:2', 'D_spe:1', 'V_spe:2', 'A_spe:2', 'D_mse:1', 'V_mse:2', 'C_mse:2', 'C_spe:2'}
chr1	233308160	234356736	{'V_mse:1', 'V_spe:1'}
chr1	233832448	234881024	{'V_mse:1', 'V_spe:1'}
chr10	11010048	12058624	{'D_spe:1', 'D_mse:1'}
chr10	21495808	22544384	{'D_spe:1', 'D_mse:1'}
chr10	35127296	36175872	{'D_mse:1'}
chr10	61865984	62914560	{'V_mse:1', 'A_mse:1', 'C_mse:1', 'V_spe:1'}
chr10	62390272	63438848	{'V_spe:1', 'D_spe:1', 'C_mse:1', 'D_mse:1', 'V_mse:1', 'A_mse:1', 'C_spe:1', 'A_spe:1'}
chr10	81788928	82837504	{'C_mse:1', 'C_spe:1'}
chr10	82313216	83361792	{'C_spe:1'}
chr10	83886080	84934656	{'A_spe:1'}
chr10	84410368	85458944	{'A_mse:1', 'A_spe:1'}
