label	obs	mean_exp	enr	p
Human_Phenotype_Ontology: Abolished electroretinogram (ERG) (HP:0000550)	4	0.177698	22.510101408006843	4.99999000002e-05
Human_Phenotype_Ontology: Retinitis pigmentosa (HP:0000510)	5	0.658846	7.589026874261966	0.000453999092001816
Human_Phenotype_Ontology: Bony spicule pigmentary retinopathy (HP:0007737)	3	0.199248	15.056612864370031	0.001017997964004072
Human_Phenotype_Ontology: Underdeveloped supraorbital ridges (HP:0009891)	3	0.29881	10.03982463772966	0.003527992944014112
Human_Phenotype_Ontology: Low anterior hairline (HP:0000294)	3	0.300116	9.996134827866559	0.0050499899000202
Human_Phenotype_Ontology: Sacral dimple (HP:0000960)	3	0.341628	8.781481611577506	0.009867980264039473
Human_Phenotype_Ontology: Constricted visual fields (HP:0001133)	2	0.156116	12.810986702195803	0.011013977972044056
Human_Phenotype_Ontology: Optic atrophy (HP:0000648)	7	2.331292	3.002626869564173	0.012303975392049216
Human_Phenotype_Ontology: Metatarsus adductus (HP:0001840)	2	0.171292	11.675968521588866	0.016677966644066712
Human_Phenotype_Ontology: Attenuation of retinal blood vessels (HP:0007843)	2	0.204984	9.756859071927565	0.021281957436085127
Human_Phenotype_Ontology: Hypochromic microcytic anemia (HP:0004840)	1	0.022308	44.82696790389098	0.0220499559000882
Human_Phenotype_Ontology: Narrow palate (HP:0000189)	2	0.229396	8.718547838671991	0.022823954352091294
Human_Phenotype_Ontology: Coarse hair (HP:0002208)	2	0.235548	8.490838385382173	0.023685952628094743
Human_Phenotype_Ontology: Sandal gap (HP:0001852)	2	0.28839	6.9350532265335145	0.03376993246013508
Human_Phenotype_Ontology: Ulnar deviation of the wrist (HP:0003049)	1	0.042766	23.383061310386758	0.03560192879614241
Human_Phenotype_Ontology: Type II diabetes mellitus (HP:0005978)	3	0.677746	4.426437042785941	0.037313925372149254
Human_Phenotype_Ontology: Tapered finger (HP:0001182)	2	0.313336	6.3829244006433985	0.041321917356165284
Human_Phenotype_Ontology: Convex nasal ridge (HP:0000444)	2	0.323966	6.173487341264207	0.045085909828180344
Human_Phenotype_Ontology: Vacuolated lymphocytes (HP:0001922)	1	0.047306	21.13896757282374	0.046161907676184645
Human_Phenotype_Ontology: Hypoplasia of the maxilla (HP:0000327)	2	0.351978	5.682173317650535	0.04744590510818979
Human_Phenotype_Ontology: Leukopenia (HP:0001882)	2	0.362776	5.513043861776964	0.04971190057619885
Human_Phenotype_Ontology: Interstitial pulmonary disease (HP:0006530)	1	0.052446	19.067231056705946	0.05083189833620333
Human_Phenotype_Ontology: Syringomyelia (HP:0003396)	1	0.053698	18.62266751089426	0.05226189547620905
Human_Phenotype_Ontology: Spinal cord lesions (HP:0100561)	1	0.053698	18.62266751089426	0.05226189547620905
Human_Phenotype_Ontology: Abnormality of the phalanges of the hallux (HP:0010057)	1	0.055426	18.04207411684047	0.053855892288215426
Human_Phenotype_Ontology: Hypochromic anemia (HP:0001931)	1	0.05627	17.77145903678692	0.054863890272219454
Human_Phenotype_Ontology: Spina bifida occulta (HP:0003298)	2	0.326642	6.122911321875326	0.05505588988822022
Human_Phenotype_Ontology: Persistence of primary teeth (HP:0006335)	1	0.057206	17.48068384435199	0.05578988842022316
Human_Phenotype_Ontology: Facial hemangioma (HP:0000329)	1	0.060176	16.617920765753787	0.05849788300423399
Human_Phenotype_Ontology: Coronal craniosynostosis (HP:0004440)	1	0.062652	15.961182404392517	0.06083187833624333
Human_Phenotype_Ontology: Abnormality of the proximal phalanges of the hand (HP:0009834)	1	0.066148	15.117615045050494	0.06423387153225693
Human_Phenotype_Ontology: Intracellular accumulation of autofluorescent lipopigment storage material (HP:0003204)	1	0.071694	13.948168605462104	0.069001861996276
Human_Phenotype_Ontology: Increased neuronal autofluorescent lipopigment (HP:0002074)	1	0.072076	13.874243853709972	0.06941786116427767
Human_Phenotype_Ontology: Epidermoid cyst (HP:0200040)	1	0.072354	13.82093595378279	0.06949786100427799
Human_Phenotype_Ontology: Wide nasal bridge (HP:0000431)	4	1.524228	2.624279307295234	0.06960386079227841
Human_Phenotype_Ontology: Impaired proprioception (HP:0010831)	1	0.074538	13.415975743915856	0.0720478559042882
Human_Phenotype_Ontology: Sparse lateral eyebrow (HP:0005338)	1	0.075368	13.268230548774016	0.07286585426829147
Human_Phenotype_Ontology: Hypobetalipoproteinemia (HP:0003563)	1	0.082482	12.123857326446982	0.07639784720430559
Human_Phenotype_Ontology: Lymphoma (HP:0002665)	2	0.44352	4.509379509379509	0.07848184303631393
Human_Phenotype_Ontology: Deep palmar crease (HP:0006191)	1	0.081694	12.240801038019928	0.07853984292031416
Human_Phenotype_Ontology: Acanthocytosis (HP:0001927)	1	0.082844	12.07088020858481	0.07946784106431787
Human_Phenotype_Ontology: Increased cerebral lipofuscin (HP:0011813)	1	0.08371	11.94600406164138	0.08008183983632032
Human_Phenotype_Ontology: Vitreoretinal degeneration (HP:0000655)	1	0.085872	11.6452394261226	0.0823758352483295
