#bin	chrom	chromStart	chromEnd	name	score	sourceCount	sourceIds	sourceScores
935	chr7	45886125	45886525	FOXA2	96	1	842	96
935	chr7	45892517	45892927	CREB1	78	2	687,1229	78,75
935	chr7	45892559	45893143	MNT	1000	6	384,398,414,646,1157,1198	208,150,1000,369,1000,635
935	chr7	45892577	45893141	MGA	156	1	1253	156
935	chr7	45892597	45892927	USF2	51	1	325	51
935	chr7	45892722	45892995	L3MBTL2	208	1	590	208
935	chr7	45892736	45892923	E2F1	80	1	274	80
935	chr7	45893054	45893477	CREB1	88	2	526,687	88,66
935	chr7	45893055	45893471	ATF7	687	2	528,1186	687,353
935	chr7	45893067	45893431	ATF2	1000	2	470,615	1000,169
935	chr7	45893169	45893344	ATF3	133	1	1059	133
935	chr7	45893540	45894329	CTBP1	499	2	56,428	308,499
935	chr7	45893562	45894292	NFATC3	431	2	234,1051	339,431
935	chr7	45893608	45894172	MGA	175	1	1253	175
935	chr7	45893635	45894081	ZNF407	21	2	778,959	21,21
935	chr7	45893644	45894048	MTA2	503	1	1204	503
935	chr7	45893646	45894222	MLLT1	440	2	42,700	440,128
935	chr7	45893652	45894172	ARID1B	124	1	362	124
935	chr7	45893654	45894205	HDAC2	463	1	988	463
935	chr7	45893655	45894542	CTCF	1000	181	12,33,36,37,45,47,51,54,57,76,86,101,102,111,113,119,130,142,153,172,187,192,193,194,198,202,213,228,235,243,246,247,253,257,260,269,272,275,276,284,290,292,296,298,316,330,339,350,355,357,358,361,379,382,386,394,406,410,415,418,422,431,452,462,464,468,469,474,477,478,493,494,515,521,523,534,540,546,555,569,574,580,584,604,622,624,630,634,638,642,643,644,649,651,657,662,703,716,723,730,731,733,736,743,745,757,760,780,783,793,804,813,814,815,817,818,821,826,827,829,834,838,839,860,864,891,894,906,922,931,937,938,940,944,955,966,971,975,976,977,979,1002,1006,1013,1041,1048,1061,1064,1065,1068,1069,1073,1074,1076,1080,1088,1094,1109,1119,1137,1140,1141,1148,1151,1155,1160,1166,1190,1193,1196,1200,1201,1203,1217,1224,1230,1231,1237,1248,1251,1254	485,442,629,903,1000,1000,722,406,492,980,344,214,540,405,681,155,847,479,421,263,952,606,884,448,651,480,850,1000,1000,630,435,757,550,735,1000,735,359,375,236,276,310,1000,395,944,695,463,986,321,438,464,601,445,949,563,467,678,966,1000,1000,768,677,489,605,931,425,704,486,383,443,930,785,483,767,980,589,510,1000,684,488,1000,807,422,778,312,475,776,692,449,486,1000,980,638,563,617,1000,539,371,817,585,528,693,668,481,659,1000,606,385,539,451,1000,416,615,873,610,602,320,757,429,948,353,555,1000,371,318,814,403,1000,982,443,777,459,541,780,383,942,241,724,840,414,377,1000,1000,457,274,576,749,691,405,893,764,388,769,963,489,977,1000,256,376,741,485,1000,784,555,966,1000,502,1000,935,514,569,589,329,696,627,626,501,369,485,418,792,444
935	chr7	45893656	45894100	HDAC1	267	1	407	267
935	chr7	45893656	45894120	NR2C1	32	1	1149	32
935	chr7	45893656	45894240	NBN	766	1	183	766
935	chr7	45893664	45894004	MCM5	730	1	31	730
935	chr7	45893665	45894021	NFXL1	185	1	160	185
935	chr7	45893670	45894358	AFF1	218	1	847	218
935	chr7	45893672	45893976	ARHGAP35	262	1	373	262
935	chr7	45893681	45894291	ZNF184	304	2	371,693	304,132
935	chr7	45893685	45894065	ZBTB5	123	1	396	123
935	chr7	45893692	45894122	ZBTB2	282	1	641	282
935	chr7	45893692	45894072	NR3C1	717	1	530	717
935	chr7	45893713	45894073	MCM2	813	1	537	813
935	chr7	45893726	45894090	PHB2	316	1	1142	316
935	chr7	45893727	45894183	ZNF444	287	1	195	287
935	chr7	45893731	45894087	SUZ12	94	1	1004	94
935	chr7	45893741	45894181	MTA1	177	1	177	177
935	chr7	45893747	45894223	ZNF24	90	1	707	90
935	chr7	45893751	45894241	ZNF217	285	1	1009	285
935	chr7	45893756	45894196	CC2D1A	554	1	304	554
935	chr7	45893757	45894351	SMC3	1000	6	85,196,600,850,1095,1101	829,528,483,1000,785,522
935	chr7	45893762	45894338	RAD21	1000	12	38,64,262,348,496,586,720,830,881,1019,1197,1212	523,712,619,1000,1000,942,735,966,665,806,815,845
935	chr7	45893763	45894123	RCOR1	341	1	973	341
935	chr7	45893778	45894118	ZNF512B	1000	2	9,353	1000,1000
935	chr7	45893780	45894230	PKNOX1	65	4	441,467,519,692	65,32,33,47
935	chr7	45893780	45894410	MNT	78	1	384	78
935	chr7	45893788	45894198	NCOR1	279	1	739	279
935	chr7	45893788	45894232	NCOA1	204	1	230	204
