label	obs	mean_exp	enr	p
GWAS_Catalog_2019: Exhaled nitric oxide levels	4	0.33278	12.019953122182823	0.006211987576024848
GWAS_Catalog_2019: Exhaled nitric oxide output	4	0.350406	11.415329646181858	0.007495985008029984
GWAS_Catalog_2019: Iron status biomarkers (ferritin levels)	3	0.276914	10.833688437565455	0.009537980924038151
GWAS_Catalog_2019: Chronic obstructive pulmonary disease	5	0.94049	5.316377632936023	0.016173967652064695
GWAS_Catalog_2019: Cannabis use	3	0.452282	6.633029835368199	0.01817196365607269
GWAS_Catalog_2019: Iris color (a* coordinate)	2	0.20121	9.939863823865613	0.018427963144073713
GWAS_Catalog_2019: Intelligence	6	1.423192	4.215875300029792	0.03136793726412547
GWAS_Catalog_2019: Inflammatory bowel disease (early onset)	6	0.321394	18.668674586333285	0.03516392967214066
GWAS_Catalog_2019: Cognitive ability	4	1.135946	3.5212941460245473	0.03676592646814707
GWAS_Catalog_2019: Body fat percentage	5	0.628458	7.955981147507074	0.0368999262001476
GWAS_Catalog_2019: Educational attainment	7	1.35809	5.154297579689122	0.03985992028015944
GWAS_Catalog_2019: Extremely high intelligence	12	1.616022	7.425641482603578	0.04035191929616141
GWAS_Catalog_2019: Food allergy	2	0.31051	6.441016392386718	0.04046191907616185
GWAS_Catalog_2019: Ankylosing spondylitis	4	1.036534	3.8590147549429155	0.046723906552186896
GWAS_Catalog_2019: Intelligence (MTAG)	12	5.61379	2.1375933193083463	0.05279589440821118
GWAS_Catalog_2019: Gastric adenocarcinoma (histologically verified)	1	0.071242	14.036663765756154	0.05476789046421907
GWAS_Catalog_2019: Type 1 diabetes	4	1.132246	3.532801175716231	0.05654388691222618
GWAS_Catalog_2019: Inflammatory bowel disease	23	9.868144	2.3307321011934974	0.06614386771226458
GWAS_Catalog_2019: Binge eating behaviour and bipolar disorder	1	0.071664	13.954007590980128	0.06834586330827339
GWAS_Catalog_2019: Delirium	3	0.62635	4.78965434661132	0.0696998606002788
GWAS_Catalog_2019: Milk allergy	1	0.076168	13.128873017540174	0.07244185511628977
GWAS_Catalog_2019: Alzheimer's disease biomarkers	2	0.465142	4.2997622231490595	0.08165783668432663
GWAS_Catalog_2019: Clinical laboratory measurements	1	0.08807	11.354604292040422	0.084247831504337
GWAS_Catalog_2019: Erosive tooth wear (severe vs non-severe)	3	0.976706	3.0715486543545345	0.08675782648434703
GWAS_Catalog_2019: Iron status biomarkers (transferrin levels)	1	0.140732	7.105704459540119	0.0961238077523845
GWAS_Catalog_2019: Graves' disease	2	0.475462	4.206435004269531	0.10033979932040137
GWAS_Catalog_2019: Crohn's disease	17	8.59586	1.9776962398177726	0.10101979796040408
GWAS_Catalog_2019: Asthma and hay fever	2	0.508618	3.932224183965176	0.101499797000406
GWAS_Catalog_2019: Number of children ever born	1	0.11238	8.898380494749956	0.10537178925642149
GWAS_Catalog_2019: Insomnia (caffeine-induced)	1	0.118486	8.43981567442567	0.10878578242843515
GWAS_Catalog_2019: Experiencing mood swings	3	1.15139	2.6055463396416507	0.11070177859644281
GWAS_Catalog_2019: General cognitive ability	8	4.297146	1.861700766043323	0.11074177851644297
GWAS_Catalog_2019: Hippocampal atrophy	2	0.535792	3.732791829665243	0.11288177423645153
GWAS_Catalog_2019: Sedentary behaviour duration	1	0.1264	7.911392405063291	0.11834176331647336
