label,enr,p,Systems
Exhaled nitric oxide output,29.63621545528636,0.0006959986080027838,
Exhaled nitric oxide levels,29.63621545528636,0.0006959986080027838,
Iron status biomarkers (ferritin levels),26.535991650007965,0.001631996736006528,
Chronic obstructive pulmonary disease,13.353202899247416,0.0024899950200099603,
Cannabis use,16.198704103671705,0.002561994876010248,
Cognitive ability,8.620243780494112,0.002793994412011176,
Iris color (a* coordinate),24.30192714282243,0.003191993616012768,
Intelligence (MTAG),5.225643276687361,0.005387989224021552,
Intelligence,10.338339387005396,0.005983988032023936,
Ankylosing spondylitis,9.487170973051693,0.007203985592028815,
Food allergy,15.813026771454325,0.00748998502002996,
Type 1 diabetes,8.660558086363086,0.010085979828040343,
General cognitive ability,4.557277573523129,0.010343979312041377,
Inflammatory bowel disease,5.660741429145237,0.01256997486005028,
Erosive tooth wear (severe vs non-severe),7.443060586513175,0.012943974112051776,
Experiencing mood swings,6.419858763107213,0.01330997338005324,
Inflammatory bowel disease (early onset),46.4820811577137,0.015125969748060504,
Body fat percentage,18.892734609978387,0.015307969384061232,
Extremely high intelligence,18.154751098362446,0.016177967644064713,
Educational attainment,12.520166410897556,0.016381967236065532,
Alzheimer's disease biomarkers,10.558547143912998,0.02039395921208157,
Methadone dose in opioid dependence,5.660890042871808,0.02120195759608481,
Crohn's disease,4.8124748406646205,0.022275955448089104,
Gastric adenocarcinoma (histologically verified),34.17634996582365,0.02247995504008992,
Delirium,11.672152578378508,0.02350995298009404,
Asthma and hay fever,9.543714986495646,0.025263949472101057,
Binge eating behaviour and bipolar disorder,36.92762186115214,0.026707946584106832,
Hippocampal atrophy,9.362945208044644,0.028223943552112895,
Graves' disease,10.659844366272251,0.02925394149211702,
Milk allergy,33.44705331460298,0.029507940984118037,
Response to methotrexate in juvenile idiopathic arthritis,6.8731986491873585,0.030323939352121295,
Nose morphology,8.144118317750921,0.03223193553612893,
Obesity (extreme),7.264115993404182,0.03229593540812918,
Clinical laboratory measurements,29.465495904296063,0.033515932968134064,
Mitochondrial DNA levels,6.960298457597863,0.033751932496135006,
Age-related hearing impairment,8.468404383246106,0.034039931920136164,
Iron status biomarkers (transferrin levels),25.302363240726685,0.03498393003213993,
Weight,8.144980655670944,0.043501912996174015,
Number of children ever born,22.024491234252487,0.04454191091617817,
Irritable bowel syndrome,8.400890494392407,0.04587390825218349,
Insomnia (caffeine-induced),21.309239686327988,0.04599190801618397,
Glucose homeostasis traits,4.4259015561469885,0.046301907396185206,
Hepcidin/ferritin ratio,6.074780548552682,0.04759190481619037,
Pediatric autoimmune diseases,6.4007783346454925,0.04764590470819058,
Nasopharyngeal carcinoma (SNP x SNP interaction),3.624834465892724,0.048647902704194584,
Cocaine dependence,17.34725739860528,0.04937990124019752,
Sedentary behaviour duration,19.59708395390766,0.049707900584198834,
Reading and spelling,18.24950726330389,0.053657892684214635,
Hematological parameters,13.0718954248366,0.05496589006821986,
Body mass index in physically active individuals,3.8814350959361374,0.05537788924422151,
Melanoma,5.808853855045861,0.05751388497223005,
Hematology traits,9.42151874882231,0.057885884228231536,
Response to fenofibrate (total cholesterol levels),5.814190112388293,0.058373883252233486,
Obsessive-compulsive disorder or autism spectrum disorder,16.284523189161018,0.059425881148237714,
Familial squamous cell lung carcinoma,5.050275492528118,0.059499881000237995,
Liver fibrosis in pediatric non-alcoholic fatty acid liver disease,15.686766643659409,0.06184787630424739,
Lipoprotein-associated phospholipase A2 activity and mass,12.818869375721064,0.062415875168249674,
Hand grip strength,2.8934054948663745,0.06298387403225192,
Mitral valve prolapse,12.488136270542984,0.06328387343225314,
Mean arterial pressure (alcohol consumption interaction),14.978131927386015,0.06493587012825974,
Body mass index (joint analysis main effects and physical activity interaction),3.423266343814614,0.06938986122027756,
Appendicular lean mass,13.751753348551938,0.07015585968828063,
Anorexia nervosa,4.439196327896798,0.07410985178029644,
BMI (adjusted for smoking behaviour),3.1112457012955232,0.07503584992830015,
Body mass index (joint analysis main effects and smoking interaction),3.104876519060837,0.07519184961630078,
White matter integrity,12.830382345393893,0.07542784914430171,
Response to mTOR inhibitor (everolimus),12.517837919034625,0.07653184693630613,
Obsessive-compulsive symptoms,12.207031249999998,0.07863784272431455,
Body mass index in asthmatics,12.230022258640508,0.07877784244431511,
Hepcidin levels,11.83936351581739,0.08130983738032524,
Adverse response to chemotherapy (neutropenia/leucopenia) (all antimicrotubule drugs),11.671335200746965,0.08238783522432955,
Chemerin levels,10.24401237476695,0.0842238315523369,
Total bilirubin levels,6.453861345242858,0.08454583090833817,
QT interval,3.165638889240627,0.08609182781634436,
Eye color,9.813927926513307,0.0875518248963502,
Laryngeal squamous cell carcinoma,9.827430323519009,0.08861782276435448,
Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid),4.3946771670153115,0.08917982164035672,
Cardiac structure and function,9.971680427585657,0.0893478213043574,
Cognitive ability (MTAG),4.070020635004619,0.08956982086035828,
Response to exercise (triglyceride level interaction),10.476030841434797,0.0908258183483633,
"Bone mineral density (paediatric, skull)",8.61786656095417,0.0908738182523635,
Pulmonary function,4.221867585345054,0.09094381811236378,
Superior frontal gyrus grey matter volume,10.479983232026829,0.09121981756036487,
Remission after SSRI treatment in MDD or openness,10.40387856592938,0.09173181653636693,
Coenzyme Q10 levels,10.187241498746971,0.09328581342837314,
Bortezomib-induced peripheral neuropathy in multiple myeloma,9.996201443451488,0.0949758100483799,
Hypertriglyceridemia,4.538317010519818,0.09823780352439294,
Iron status biomarkers (iron levels),9.26509283623022,0.0995738008523983,
Blood trace element (Cu levels),8.958165367732686,0.1006977986044028,
White blood cell count (basophil),3.9967386612524174,0.10357379285241428,
Paclitaxel-induced neuropathy,7.8639845236784565,0.10474179051641896,
Cardiovascular risk factors (age interaction),8.499065102838689,0.10474979050041901,
Lean body mass,9.022664934315,0.10550378899242202,
Visceral fat,3.699729919715861,0.10584178831642337,
Dimensional psychopathology (Cognitive),6.868886690845147,0.10585578828842343,
Chronic back pain,8.857866671390864,0.10668178663642673,
Iron status biomarkers,7.605141075366948,0.10848978302043397,
Response to angiotensin II receptor blocker therapy,8.713078330574191,0.1086537826924346,
Response to anti-retroviral therapy (ddI/d4T) in HIV-1 (Grade 1 peripheral neuropathy),8.596234849136078,0.1100517798964402,
Chronic periodontitis (mean interproximal clinical attachment level),8.466683600033866,0.11136977726044547,
Systolic blood pressure x alcohol consumption interaction (2df test),3.7577456532277163,0.11192977614044773,
Severe malaria (adjusted for sickle cell variant rs334),8.280613427842734,0.11195977608044784,
Triglyceride change in response to fenofibrate in statin-treated type 2 diabetes,8.430281571404485,0.11206177587644824,
Dupuytren's disease,5.225397522116495,0.11435577128845742,
Neurocognitive impairment in HIV-1 infection (dichotomous),7.732038474623449,0.11562776874446253,
Verbal declarative memory,3.595634899232332,0.1158537682924634,
Beta2-Glycoprotein I plasma levels,7.4599030212607245,0.11695976608046785,
Hip shape (DXA scan),7.989645419536282,0.11757976484047032,
Hemoglobin levels,5.715265474081272,0.11968376063247875,
Obesity in adult survivors of childhood cancer exposed to cranial radiation,7.853608733212911,0.1197977604044792,
Response to SSRI in MDD or openness,7.787070348393527,0.12071975856048288,
Stearic acid (18:0) levels,6.533556345389923,0.12154175691648615,
Red blood cell traits,3.783292978208233,0.12402975194049612,
Cerebrospinal fluid t-tau levels in normal cognition,5.453038433014876,0.1255997488005024,
Hepcidin/transferrin saturation ratio,7.33708013558924,0.12704574590850815,
Systemic lupus erythematosus,2.101280015734385,0.12824374351251294,
Body mass index,1.6690705256213054,0.12835974328051344,
Epstein-Barr virus copy number in lymphoblastoid cell lines,3.306922049233456,0.12848374303251395,
Immature fraction of reticulocytes,3.220549683419966,0.13013773972452056,
Uterine fibroid size (maximum dimension),6.853445912604857,0.1314537370925258,
Refractive astigmatism,3.295685617957532,0.13182973634052733,
Carboplatin disposition in epthelial ovarian cancer,6.962042941880865,0.13191173617652766,
Social science traits (pleiotropy) (HIPO component 1),7.079245069305808,0.13197773604452792,
Putamen volume,6.957780189808244,0.1345997308005384,
Mood instability,5.225479437738412,0.13564372871254254,
Lipid metabolism phenotypes,5.149701832263912,0.13582972834054333,
Vitamin D levels,5.303239218514668,0.13608172783654432,
Electrocardiographic traits,6.82212004202426,0.13645972708054585,
Cutaneous squamous cell carcinoma,6.727754679153381,0.13866172267655466,
Mean corpuscular hemoglobin concentration,3.518388859373516,0.13938172123655754,
Peanut allergy,5.862283242077122,0.13979372041255916,
Lung function (FVC),3.1807425125321256,0.14101371797256407,
Fractures,5.230180232010795,0.14172171655656687,
Borderline personality disorder,6.4929162283948205,0.14303371393257214,
Interleukin-6 levels,6.395170367338586,0.14503770992458015,
Severe malaria,5.670863105364638,0.14616370767258466,
Iron status biomarkers (transferrin saturation),5.345078251945608,0.14661770676458644,
Cardiovascular disease risk factors,6.332640964587872,0.14678370643258715,
Age at first birth,4.683094963799675,0.14800570398859206,
Autism,5.422758231746997,0.15375969248061505,
Hip circumference,2.967508746732032,0.15436969126061748,
Obesity,2.9133963792309805,0.15705968588062824,
Metabolite levels (lipoprotein measures),5.768010613139527,0.15790768418463166,
Common carotid intima-media thickness in HIV negative individuals,5.373339638051841,0.15910368179263645,
Response to lurasidone in schizophrenia,5.166570224022486,0.15976568046863907,
Cervical cancer,4.8828125,0.16091767816464367,
Subcortical brain region volumes,5.161290322580644,0.16116567766864467,
Body mass index (adult),4.85375632201761,0.16223567552864895,
