label	obs	mean_exp	enr	p
Human_Phenotype_Ontology: Abolished electroretinogram (ERG) (HP:0000550)	4	0.272744	14.66576716628047	0.000155999688000624
Human_Phenotype_Ontology: Retinitis pigmentosa (HP:0000510)	5	1.022194	4.8914393940876195	0.003543992912014176
Human_Phenotype_Ontology: Bony spicule pigmentary retinopathy (HP:0007737)	3	0.31123	9.639173601516562	0.004065991868016264
Human_Phenotype_Ontology: Constricted visual fields (HP:0001133)	2	0.23564	8.487523340689187	0.023123953752092495
Human_Phenotype_Ontology: Attenuation of retinal blood vessels (HP:0007843)	2	0.31672	6.314725940894165	0.04423991152017696
Human_Phenotype_Ontology: Coarse hair (HP:0002208)	2	0.361786	5.528129888939871	0.05104189791620417
Human_Phenotype_Ontology: Narrow palate (HP:0000189)	2	0.361554	5.531677149194865	0.051533896932206134
Human_Phenotype_Ontology: Optic atrophy (HP:0000648)	7	3.607712	1.9402879165520974	0.07878584242831514
Human_Phenotype_Ontology: Persistence of primary teeth (HP:0006335)	1	0.087588	11.417089098963329	0.0836258327483345
Human_Phenotype_Ontology: Type II diabetes mellitus (HP:0005978)	3	1.038122	2.8898337574967106	0.09428981142037716
Human_Phenotype_Ontology: Spina bifida occulta (HP:0003298)	2	0.511746	3.908188828051416	0.10666978666042667
Human_Phenotype_Ontology: Epidermoid cyst (HP:0200040)	1	0.11625	8.602150537634408	0.11026777946444107
Human_Phenotype_Ontology: Hypobetalipoproteinemia (HP:0003563)	1	0.129598	7.716168459389806	0.11768976462047076
Human_Phenotype_Ontology: Acanthocytosis (HP:0001927)	1	0.129536	7.719861660079051	0.12172375655248689
Human_Phenotype_Ontology: Abnormality of the middle phalanges of the toes (HP:0010183)	1	0.153332	6.521795841702971	0.14253771492457015
Human_Phenotype_Ontology: Aplasia/Hypoplasia of the phalanges of the toes (HP:0010173)	1	0.157712	6.340671603936289	0.14515570968858063
Human_Phenotype_Ontology: Xanthomatosis (HP:0000991)	1	0.17868	5.596597268860533	0.15123569752860494
Human_Phenotype_Ontology: Skin nodule (HP:0200036)	1	0.184124	5.431122504399209	0.16843166313667374
Human_Phenotype_Ontology: Hypercholesterolemia (HP:0003124)	1	0.204714	4.884863761149702	0.17829364341271317
Human_Phenotype_Ontology: Opisthotonus (HP:0002179)	1	0.19998	5.000500050005001	0.18073763852472294
Human_Phenotype_Ontology: Hypolipoproteinemia (HP:0010981)	1	0.218066	4.585767611640512	0.18845362309275382
Human_Phenotype_Ontology: Tachypnea (HP:0002789)	1	0.210424	4.752309622476524	0.18895962208075584
Human_Phenotype_Ontology: Wide nasal bridge (HP:0000431)	4	2.36321	1.6926130136551554	0.21318157363685272
Human_Phenotype_Ontology: Broad-based gait (HP:0002136)	1	0.24183	4.135136252739528	0.2144795710408579
Human_Phenotype_Ontology: Cubitus valgus (HP:0002967)	1	0.253814	3.9398929925063237	0.21534156931686135
Human_Phenotype_Ontology: Poikilocytosis (HP:0004447)	1	0.255482	3.914170078518252	0.21805956388087225
Human_Phenotype_Ontology: Abnormality of the epiphyses of the phalanges of the hand (HP:0005920)	1	0.265362	3.768437078406102	0.22388155223689551
Human_Phenotype_Ontology: Abnormality of the level of lipoprotein cholesterol (HP:0010979)	1	0.280574	3.5641221210803566	0.237253525492949
Human_Phenotype_Ontology: Abnormality of the epiphyses of the hand (HP:0005924)	1	0.315238	3.1722063964369775	0.26231947536104927
Human_Phenotype_Ontology: Fat malabsorption (HP:0002630)	1	0.305558	3.272701091118544	0.2636494727010546
Human_Phenotype_Ontology: Abnormality involving the epiphyses of the upper limbs (HP:0003839)	1	0.31934	3.131458633431452	0.26548546902906195
Human_Phenotype_Ontology: Preaxial foot polydactyly (HP:0001841)	1	0.33061	3.0247118961918877	0.27347945304109395
Human_Phenotype_Ontology: Ulnar deviation of finger (HP:0009465)	1	0.378276	2.6435724180228193	0.30013739972520054
Human_Phenotype_Ontology: Lymphopenia (HP:0001888)	1	0.373584	2.6767741659171698	0.30560138879722243
Human_Phenotype_Ontology: Arteriovenous malformation (HP:0100026)	1	0.397992	2.5126133188606805	0.32012935974128054
Human_Phenotype_Ontology: Hyperammonemia (HP:0001987)	1	0.390004	2.5640762658844523	0.32048935902128195
Human_Phenotype_Ontology: Abnormality of cells of the lymphoid lineage (HP:0012140)	1	0.401344	2.4916281294849307	0.3249513500972998
Human_Phenotype_Ontology: Abnormality of primary teeth (HP:0006481)	1	0.397814	2.5137375758520313	0.32773334453331093
