label	obs	mean_exp	enr	p
Human_Phenotype_Ontology: Abolished electroretinogram (ERG) (HP:0000550)	4	0.403638	9.909869734762337	0.000713998572002856
Human_Phenotype_Ontology: Low anterior hairline (HP:0000294)	5	0.677248	7.382819882819883	0.001015997968004064
Human_Phenotype_Ontology: Small for gestational age (HP:0001518)	5	0.859136	5.819800357568534	0.002553994892010216
Human_Phenotype_Ontology: Slender long bone (HP:0003100)	3	0.295758	10.143428072951535	0.003361993276013448
Human_Phenotype_Ontology: Dilated cardiomyopathy (HP:0001644)	5	0.963218	5.190932893695924	0.00367999264001472
Human_Phenotype_Ontology: Sandal gap (HP:0001852)	4	0.625618	6.393677931261569	0.004091991816016368
Human_Phenotype_Ontology: Tented upper lip vermilion (HP:0010804)	3	0.339208	8.84413103464541	0.00503998992002016
Human_Phenotype_Ontology: Tapered finger (HP:0001182)	4	0.688402	5.810558365606143	0.005827988344023312
Human_Phenotype_Ontology: Microtia (HP:0008551)	4	0.663466	6.0289449647758895	0.006603986792026416
Human_Phenotype_Ontology: Hypoplasia of the maxilla (HP:0000327)	4	0.78259	5.111233212793417	0.00777998444003112
Human_Phenotype_Ontology: Metatarsus adductus (HP:0001840)	3	0.370654	8.093801766607132	0.008305983388033225
Human_Phenotype_Ontology: Leukopenia (HP:0001882)	4	0.805708	4.964577737840508	0.008573982852034296
Human_Phenotype_Ontology: Open mouth (HP:0000194)	4	0.844974	4.733873468296066	0.010233979532040936
Human_Phenotype_Ontology: Bony spicule pigmentary retinopathy (HP:0007737)	3	0.451938	6.63807867450845	0.010817978364043272
Human_Phenotype_Ontology: Lumbar hyperlordosis (HP:0002938)	3	0.464258	6.461924188705418	0.012051975896048207
Human_Phenotype_Ontology: Neutropenia (HP:0001875)	4	0.86738	4.611588922963406	0.012831974336051329
Human_Phenotype_Ontology: Coarse hair (HP:0002208)	3	0.508562	5.898985767713672	0.01432997134005732
Human_Phenotype_Ontology: Narrow palate (HP:0000189)	3	0.511158	5.8690267979763595	0.014823970352059295
Human_Phenotype_Ontology: Ectopic anus (HP:0004397)	3	0.50468	5.944360783070461	0.014857970284059432
Human_Phenotype_Ontology: Rhabdomyolysis (HP:0003201)	2	0.158054	12.653903096410088	0.017263965472069057
Human_Phenotype_Ontology: Overlapping toe (HP:0001845)	2	0.199536	10.023253949162056	0.01773796452407095
Human_Phenotype_Ontology: Polyphagia (HP:0002591)	2	0.212378	9.417171270093888	0.019425961148077705
Human_Phenotype_Ontology: IgM deficiency (HP:0002850)	2	0.220848	9.056002318336594	0.020151959696080607
Human_Phenotype_Ontology: Delayed puberty (HP:0000823)	3	0.581758	5.1567834047834324	0.020701958596082808
Human_Phenotype_Ontology: Hyperammonemia (HP:0001987)	3	0.563372	5.325078278650697	0.021131957736084526
Human_Phenotype_Ontology: Split foot (HP:0001839)	2	0.219314	9.119344866264807	0.021315957368085264
Human_Phenotype_Ontology: Long toe (HP:0010511)	2	0.223206	8.960332607546393	0.021345957308085382
Human_Phenotype_Ontology: Ulnar deviation of finger (HP:0009465)	3	0.536204	5.5948855286420835	0.02138795722408555
Human_Phenotype_Ontology: Duplication of thumb phalanx (HP:0009942)	2	0.223514	8.947985361095949	0.021639956720086558
Human_Phenotype_Ontology: Myoglobinuria (HP:0002913)	2	0.19537	10.23698623125352	0.02229195541608917
Human_Phenotype_Ontology: Tracheomalacia (HP:0002779)	2	0.237208	8.431418839162253	0.023867952264095472
Human_Phenotype_Ontology: High pitched voice (HP:0001620)	2	0.249558	8.014169050881959	0.026725946548106904
Human_Phenotype_Ontology: Short metatarsal (HP:0010743)	3	0.646022	4.643804700149531	0.02704794590410819
Human_Phenotype_Ontology: Median cleft lip (HP:0000161)	2	0.259384	7.710575825802671	0.028487943024113952
Human_Phenotype_Ontology: Abnormality of the antihelix (HP:0009738)	3	0.613034	4.893692682624455	0.028731942536114927
Human_Phenotype_Ontology: Hypoplastic labia majora (HP:0000059)	2	0.264248	7.56864763404075	0.028923942152115696
Human_Phenotype_Ontology: Underdeveloped supraorbital ridges (HP:0009891)	3	0.660226	4.543898604417276	0.02923194153611693
