chr	windowStartPos	AH
chr1	38273024	['denisova']
chr1	56623104	['denisova']
chr1	66584576	['vindija', 'chagyrskaya', 'altai', 'denisova']
chr1	67108864	['denisova']
chr1	73924608	['vindija', 'chagyrskaya', 'altai']
chr1	81264640	['denisova']
chr1	89653248	['denisova']
chr1	98566144	['chagyrskaya']
chr1	106954752	['denisova']
chr1	149946368	['denisova']
chr1	155713536	['chagyrskaya']
chr1	156237824	['chagyrskaya', 'altai']
chr1	193986560	['vindija']
chr1	212336640	['vindija', 'chagyrskaya', 'altai']
chr1	212860928	['vindija', 'chagyrskaya', 'altai']
chr1	233308160	['vindija']
chr1	233832448	['vindija']
chr10	62390272	['vindija', 'chagyrskaya', 'altai', 'denisova']
chr10	84410368	['altai']
chr10	87031808	['vindija', 'chagyrskaya', 'altai']
chr10	128974848	['denisova']
chr11	9437184	['vindija']
chr11	17301504	['vindija', 'chagyrskaya', 'altai', 'denisova']
chr11	17825792	['vindija', 'chagyrskaya', 'altai', 'denisova']
chr11	22544384	['denisova']
chr11	72351744	['vindija', 'chagyrskaya', 'altai', 'denisova']
chr11	75497472	['denisova']
chr11	115343360	['vindija', 'chagyrskaya', 'altai']
chr11	115867648	['vindija', 'chagyrskaya', 'altai']
chr11	126353408	['denisova']
chr11	126877696	['denisova']
chr11	132120576	['denisova']
chr12	59768832	['vindija', 'chagyrskaya', 'altai']
chr12	89653248	['altai']
chr12	90177536	['altai']
chr12	112721920	['denisova']
chr13	36175872	['altai']
chr13	38797312	['vindija']
chr13	39321600	['vindija']
chr13	41418752	['chagyrskaya', 'altai', 'denisova']
chr13	49283072	['altai']
chr13	88080384	['vindija']
chr13	88604672	['vindija']
chr13	92798976	['vindija', 'chagyrskaya', 'altai']
chr13	93323264	['vindija']
chr13	108003328	['vindija', 'chagyrskaya', 'altai']
chr14	24641536	['chagyrskaya']
chr14	39845888	['vindija', 'chagyrskaya', 'altai']
chr14	40370176	['vindija', 'chagyrskaya', 'altai']
chr14	45088768	['denisova']
chr14	45613056	['vindija', 'denisova']
chr14	69206016	['vindija', 'chagyrskaya', 'altai']
chr14	72876032	['altai']
chr14	80740352	['denisova']
chr15	42991616	['denisova']
chr15	43515904	['denisova']
chr15	94896128	['chagyrskaya']
chr16	2097152	['vindija', 'chagyrskaya', 'altai']
chr16	23592960	['chagyrskaya']
chr16	27787264	['vindija', 'chagyrskaya', 'altai']
chr16	49807360	['denisova']
chr16	50855936	['vindija']
chr16	54525952	['denisova']
chr16	55050240	['denisova']
chr16	55574528	['denisova']
chr16	65536000	['vindija']
chr17	12058624	['vindija', 'chagyrskaya', 'altai', 'denisova']
chr17	29884416	['vindija']
chr17	58195968	['chagyrskaya']
chr17	58720256	['vindija', 'chagyrskaya']
chr18	1572864	['vindija']
chr18	24117248	['altai']
chr18	50855936	['vindija', 'chagyrskaya', 'altai']
chr18	70778880	['vindija', 'chagyrskaya', 'altai']
chr19	5242880	['denisova']
chr19	5767168	['denisova']
chr2	2097152	['chagyrskaya']
chr2	7340032	['vindija', 'chagyrskaya', 'altai']
chr2	12058624	['vindija', 'chagyrskaya']
chr2	21495808	['vindija', 'chagyrskaya', 'altai', 'denisova']
chr2	22544384	['denisova']
chr2	40370176	['vindija', 'chagyrskaya', 'altai']
chr2	40894464	['denisova']
chr2	45613056	['vindija']
chr2	46137344	['vindija']
chr2	54525952	['altai']
chr2	139460608	['altai']
chr2	139984896	['denisova']
chr2	148373504	['chagyrskaya']
chr2	193462272	['chagyrskaya', 'altai', 'denisova']
chr2	193986560	['denisova']
chr2	196083712	['denisova']
chr2	204472320	['vindija', 'altai']
chr2	209190912	['vindija', 'chagyrskaya', 'altai']
chr2	209715200	['vindija', 'chagyrskaya']
chr2	218103808	['vindija', 'chagyrskaya', 'altai', 'denisova']
chr2	218628096	['denisova']
chr2	220200960	['vindija', 'chagyrskaya']
chr2	220725248	['vindija', 'chagyrskaya']
chr2	223870976	['denisova']
chr2	224395264	['denisova']
chr20	6291456	['denisova']
chr20	30408704	['vindija', 'chagyrskaya', 'altai']
chr20	37748736	['denisova']
chr20	39321600	['vindija', 'chagyrskaya', 'altai']
chr20	42991616	['denisova']
chr20	57671680	['vindija', 'chagyrskaya', 'altai']
chr21	24641536	['vindija', 'altai']
chr21	25690112	['vindija', 'chagyrskaya', 'altai']
chr21	28835840	['chagyrskaya']
chr21	46661632	['altai']
