label,enr,p,Systems
Exhaled nitric oxide output,29.63621546,0.000695999,respiratory
Exhaled nitric oxide levels,29.63621546,0.000695999,respiratory
Iron status biomarkers (ferritin levels),26.53599165,0.001631997,hematologic
Chronic obstructive pulmonary disease,13.3532029,0.002489995,respiratory
Cannabis use,16.1987041,0.002561995,psychiatric
Cognitive ability,8.62024378,0.002793994,nervous
Iris color (a* coordinate),24.30192714,0.003191994,integumentary
Intelligence (MTAG),5.225643277,0.005387989,nervous
Intelligence,10.33833939,0.005983988,nervous
Ankylosing spondylitis,9.487170973,0.007203986,immune
Food allergy,15.81302677,0.007489985,immune
Type 1 diabetes,8.660558086,0.01008598,endocrine
General cognitive ability,4.557277574,0.010343979,nervous
Inflammatory bowel disease,5.660741429,0.012569975,immune
Erosive tooth wear (severe vs non-severe),7.443060587,0.012943974,skeleton
Experiencing mood swings,6.419858763,0.013309973,psychiatric
Inflammatory bowel disease (early onset),46.48208116,0.01512597,immune
Body fat percentage,18.89273461,0.015307969,digestive
Extremely high intelligence,18.1547511,0.016177968,nervous
Educational attainment,12.52016641,0.016381967,nervous
Alzheimer's disease biomarkers,10.55854714,0.020393959,nervous
Methadone dose in opioid dependence,5.660890043,0.021201958,psychiatric
Crohn's disease,4.812474841,0.022275955,immune
Gastric adenocarcinoma (histologically verified),34.17634997,0.022479955,digestive
Delirium,11.67215258,0.023509953,psychiatric
Asthma and hay fever,9.543714986,0.025263949,immune
Binge eating behaviour and bipolar disorder,36.92762186,0.026707947,psychiatric
Hippocampal atrophy,9.362945208,0.028223944,nervous
Graves' disease,10.65984437,0.029253941,endocrine
Milk allergy,33.44705331,0.029507941,immune
Response to methotrexate in juvenile idiopathic arthritis,6.873198649,0.030323939,immune
Nose morphology,8.144118318,0.032231936,skeleton
Obesity (extreme),7.264115993,0.032295935,endocrine
Clinical laboratory measurements,29.4654959,0.033515933,hematologic
Mitochondrial DNA levels,6.960298458,0.033751932,none
Age-related hearing impairment,8.468404383,0.034039932,nervous
Iron status biomarkers (transferrin levels),25.30236324,0.03498393,hematologic
Weight,8.144980656,0.043501913,endocrine
Number of children ever born,22.02449123,0.044541911,reproductive
Irritable bowel syndrome,8.400890494,0.045873908,digestive
Insomnia (caffeine-induced),21.30923969,0.045991908,psychiatric
Glucose homeostasis traits,4.425901556,0.046301907,endocrine
