label	obs	mean_exp	enr	p
GWAS_Catalog_2019: Cognitive ability	5	0.394342	12.67934939722373	0.000215999568000864
GWAS_Catalog_2019: Intelligence (MTAG)	14	1.92726	7.264198914521134	0.000683998632002736
GWAS_Catalog_2019: Exhaled nitric oxide output	4	0.113274	35.312604834295605	0.000767998464003072
GWAS_Catalog_2019: Exhaled nitric oxide levels	4	0.113274	35.312604834295605	0.000767998464003072
GWAS_Catalog_2019: Experiencing mood swings	4	0.394986	10.126941208042817	0.000817998364003272
GWAS_Catalog_2019: Intelligence	7	0.494246	14.162987662014462	0.00086999826000348
GWAS_Catalog_2019: General cognitive ability	10	1.482054	6.747392470179899	0.001161997676004648
GWAS_Catalog_2019: Chronic obstructive pulmonary disease	5	0.324512	15.407750714919633	0.001661996676006648
GWAS_Catalog_2019: Iris color (a* coordinate)	2	0.058942	33.93166163347019	0.001693996612006776
GWAS_Catalog_2019: Cannabis use	3	0.155144	19.336874129840663	0.001921996156007688
GWAS_Catalog_2019: Response to mTOR inhibitor (everolimus)	2	0.065658	30.46087300862043	0.002085995828008344
GWAS_Catalog_2019: Coenzyme Q10 levels	2	0.081008	24.68891961287774	0.002731994536010928
GWAS_Catalog_2019: Response to exercise (triglyceride level interaction)	2	0.076098	26.281899655707115	0.002843994312011376
GWAS_Catalog_2019: Bortezomib-induced peripheral neuropathy in multiple myeloma	2	0.081942	24.40750774938371	0.003101993796012408
GWAS_Catalog_2019: Chronic back pain	2	0.092868	21.535943489684282	0.003737992524014952
GWAS_Catalog_2019: Ankylosing spondylitis	4	0.339546	11.78043622955358	0.0037999924000152
GWAS_Catalog_2019: Food allergy	2	0.10583	18.89823301521308	0.004955990088019824
GWAS_Catalog_2019: Response to fenofibrate (total cholesterol levels)	3	0.279692	10.72608440713356	0.0050139899720200555
GWAS_Catalog_2019: Putamen volume	2	0.118812	16.83331650001683	0.006353987292025416
GWAS_Catalog_2019: Inflammatory bowel disease	22	3.394494	6.4810837786132485	0.010023979952040097
GWAS_Catalog_2019: Cognitive ability (MTAG)	3	0.414744	7.233377698049881	0.01002997994004012
GWAS_Catalog_2019: Inflammatory bowel disease (early onset)	6	0.107608	55.757936212920974	0.0122999754000492
GWAS_Catalog_2019: Body fat percentage	5	0.217928	22.943357439154216	0.012477975044049912
GWAS_Catalog_2019: Educational attainment	7	0.462594	15.13205964625568	0.012767974464051072
GWAS_Catalog_2019: Extremely high intelligence	12	0.557604	21.520649062775735	0.013177973644052711
GWAS_Catalog_2019: Alzheimer's disease biomarkers	2	0.158284	12.635515908114527	0.01641996716006568
GWAS_Catalog_2019: Subcortical brain region volumes	2	0.160226	12.482368654275835	0.01686196627606745
